,SIC Code,Office,Industry Title
276,5000,Office of Trade & Services,WHOLESALE-DURABLE GOODS
277,5010,Office of Trade & Services,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
278,5013,Office of Trade & Services,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS
279,5020,Office of Trade & Services,WHOLESALE-FURNITURE & HOME FURNISHINGS
280,5030,Office of Trade & Services,WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS
281,5031,Office of Trade & Services,"WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS"
282,5040,Office of Trade & Services,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES
283,5045,Office of Trade & Services,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE
284,5047,Office of Trade & Services,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES"
285,5050,Office of Trade & Services,WHOLESALE-METALS & MINERALS (NO PETROLEUM)
286,5051,Office of Trade & Services,WHOLESALE-METALS SERVICE CENTERS & OFFICES
287,5063,Office of Trade & Services,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES"
288,5064,Office of Trade & Services,"WHOLESALE-ELECTRICAL APPLIANCES, TV & RADIO SETS"
289,5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
290,5070,Office of Trade & Services,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES
291,5072,Office of Trade & Services,WHOLESALE-HARDWARE
292,5080,Office of Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES"
293,5082,Office of Trade & Services,WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP
294,5084,Office of Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT
295,5090,Office of Trade & Services,WHOLESALE-MISC DURABLE GOODS
296,5094,Office of Trade & Services,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS"
297,5099,Office of Trade & Services,"WHOLESALE-DURABLE GOODS, NEC"
298,5110,Office of Trade & Services,WHOLESALE-PAPER & PAPER PRODUCTS
299,5122,Office of Trade & Services,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
300,5130,Office of Trade & Services,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS"
301,5140,Office of Trade & Services,WHOLESALE-GROCERIES & RELATED PRODUCTS
302,5141,Office of Trade & Services,"WHOLESALE-GROCERIES, GENERAL LINE"
303,5150,Office of Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS
304,5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS
305,5171,Office of Trade & Services,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS
306,5172,Office of Trade & Services,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)
307,5180,Office of Trade & Services,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES"
308,5190,Office of Trade & Services,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS
309,5200,Office of Trade & Services,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
